https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Archiv.html
date    confirmed   deaths
2020-03-04  262 0
2020-03-05  400 0
2020-03-06  639 0
2020-03-07  795 0
2020-03-08  902 0
2020-03-09  1139    2
2020-03-10  1296    2
2020-03-11  1567    3
2020-03-12  2369    5
2020-03-13  3062    5
2020-03-14  3795    8
2020-03-15  4838    12
2020-03-16  6012    13
2020-03-17  7156    12
2020-03-18  8198    12
2020-03-19  10999   20
2020-03-20  13957   31
2020-03-21  16662   47
2020-03-22  18610   55
2020-03-23  22672   86
2020-03-24  27436   114
